B01001_001E,B19013_001E,B19001_001E,B25003_003E,B25070_007E,B25070_008E,B25070_009E,B25070_010E,B03002_001E,B03002_003E,B03002_004E,B03002_006E,B03002_012E,B11001_001E,B11001_002E,B11001_007E,B15003_001E,B15003_016E,B15003_017E,B15003_018E,B15003_021E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B20002_002E,B20002_003E,B23025_001E,B23025_002E,B23025_005E,B18101_001E,B18101_002E,B17001_001E,B17001_002E,state,county,tract
4777,198203,2149,1274,0,3,18,39,4777,3270,305,402,476,2149,1105,1044,3732,0,41,30,18,1205,1423,465,362,115333,105353,3871,3109,84,4777,2501,4777,24,36,047,015700
5439,212109,2555,1102,118,44,90,96,5439,4156,300,250,346,2555,1065,1490,4356,103,62,0,188,1523,1409,529,407,158021,109052,4493,3747,163,5436,2657,5436,243,36,047,015900
4323,88944,1791,1426,69,73,23,461,4323,1953,158,1103,815,1791,906,885,3229,72,682,80,126,997,437,110,33,59875,47642,3660,2470,127,4323,1951,4323,434,36,047,016000
3574,170893,1555,964,46,29,36,104,3574,2179,105,341,744,1555,859,696,2874,21,209,21,141,1062,565,302,153,118100,73750,3059,2408,65,3562,1665,3529,55,36,047,016100
2282,98125,1128,734,134,37,25,99,2282,1091,92,123,888,1128,488,640,1636,1,276,16,127,578,219,33,65,53214,87673,1932,1306,73,2282,1113,2234,407,36,047,016200
4082,151923,1866,1228,111,123,65,186,4082,2498,653,294,306,1866,810,1056,3163,14,178,0,101,1124,1002,313,148,146372,92443,3256,2651,179,4082,1782,4082,109,36,047,016300
859,126696,156,137,25,14,8,53,859,542,110,98,96,156,145,11,538,0,112,16,20,201,34,19,0,53716,58750,623,464,0,591,290,645,0,36,047,016400
6118,250001,2394,1200,105,39,66,126,6118,4343,190,533,574,2394,1419,975,4510,33,23,2,64,1758,1448,675,126,121974,122105,4730,3726,162,6118,2803,6118,336,36,047,016500
1958,126250,680,69,0,8,0,12,1958,1328,0,465,133,680,579,101,1463,46,299,55,86,398,205,41,0,66250,59375,1650,863,5,1958,939,1958,100,36,047,016600
4851,193594,2232,1187,222,37,151,145,4851,3504,73,721,428,2232,1120,1112,3841,25,60,22,294,1450,1250,267,129,127829,72945,4079,3275,357,4851,2257,4827,247,36,047,016700
1970,116991,794,264,0,38,11,45,1970,1140,0,687,92,794,540,254,1453,99,261,42,130,369,203,24,0,98705,54737,1627,1046,33,1970,959,1970,105,36,047,016800
4726,154155,1983,1366,96,52,55,253,4726,3833,42,402,215,1983,1254,729,3689,30,259,98,325,1536,979,157,64,84743,77304,3783,2981,135,4726,2483,4587,639,36,047,016900
3584,94926,1136,546,30,78,83,98,3584,1419,0,1319,791,1136,888,248,2637,32,452,82,165,588,209,29,9,53636,38622,2939,1637,24,3584,1559,3569,414,36,047,017000
4195,168973,1649,876,22,74,42,229,4195,2746,7,230,794,1649,1243,406,2846,10,151,16,148,1059,965,167,111,121000,72667,3068,2293,192,4195,1861,4195,101,36,047,017100
2830,131513,929,491,10,46,0,214,2830,1257,49,1141,323,929,711,218,2060,47,493,15,123,599,131,50,58,58958,64574,2334,1444,19,2830,1296,2829,133,36,047,017200
2038,107143,712,262,19,25,14,61,2038,853,0,973,212,712,535,177,1505,49,326,7,117,304,240,13,31,62344,49333,1629,1129,21,2038,930,2038,258,36,047,017400
0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-666666666,-666666666,0,0,0,0,0,0,0,36,047,017500
2238,97955,846,424,44,7,38,98,2238,1195,0,745,268,846,588,258,1809,50,501,50,188,323,171,5,0,54630,57667,2010,1371,106,2238,1055,2238,212,36,047,017600
0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-666666666,-666666666,0,0,0,0,0,0,0,36,047,017700
2654,75655,851,533,44,14,32,190,2654,1075,9,1065,488,851,719,132,1920,91,342,31,156,538,213,0,68,57292,45000,2143,1187,109,2474,1274,2456,153,36,047,017800
4017,106106,1445,1007,49,75,66,269,4017,1082,1216,296,969,1445,837,608,3019,80,234,174,194,778,486,172,25,87833,42500,3186,2087,304,3715,1524,3715,856,36,047,017900
3027,58667,1018,610,15,33,129,233,3027,1464,0,1059,464,1018,719,299,2027,35,374,15,45,563,223,23,6,46154,41403,2532,1358,63,3027,1571,3010,494,36,047,018000
3749,163382,2094,1657,154,59,41,263,3749,2182,569,193,331,2094,623,1471,3217,62,120,18,32,1461,736,132,222,93981,101803,3368,2794,235,3728,2048,3728,256,36,047,018100
3460,73229,1118,470,30,64,46,112,3460,1029,0,1737,599,1118,926,192,2483,79,402,84,192,485,81,5,0,40392,32083,2903,1671,63,3460,1735,3460,415,36,047,018200
2879,191944,1390,917,62,37,38,76,2879,1707,247,163,204,1390,551,839,2348,17,23,0,22,1197,606,206,84,114914,112730,2509,2194,80,2879,1325,2875,60,36,047,018300
2161,76118,783,229,45,0,0,61,2161,913,0,1062,92,783,679,104,1718,34,398,51,52,449,207,17,28,58611,42212,1893,1101,45,2161,1005,2161,157,36,047,018400
4334,46029,1786,1572,350,163,29,339,4334,368,1868,290,1688,1786,1011,775,3175,46,358,286,393,403,194,78,20,49811,45662,3605,1978,125,4334,1780,4327,1159,36,047,018501
2081,83250,655,295,12,5,29,42,2081,658,0,924,496,655,483,172,1624,23,517,63,77,349,149,30,0,40268,41696,1839,1218,68,2081,884,2081,104,36,047,018600
1448,122115,550,316,41,10,15,46,1448,746,351,51,212,550,270,280,1146,16,70,26,38,370,316,58,35,77014,71827,1272,941,112,1448,675,1440,118,36,047,018700
2875,50265,1149,729,46,8,14,461,2875,1328,1,1047,338,1149,705,444,2149,108,655,160,182,340,112,40,67,48185,42537,2486,1425,28,2875,1536,2875,442,36,047,018800
4093,60645,1512,1226,31,117,254,165,4093,1046,12,1922,1058,1512,1060,452,2898,18,894,91,228,424,187,68,10,25979,43661,3470,2331,349,4093,2521,4093,655,36,047,019000
2825,160471,1187,760,84,72,11,160,2825,1349,156,261,745,1187,533,654,2042,0,114,35,98,750,503,218,0,104583,101971,2267,1989,147,2825,1427,2774,263,36,047,019100
3095,69327,751,539,8,0,81,136,3095,1307,3,917,680,751,581,170,1743,107,471,60,7,338,60,14,32,41607,18519,2053,1110,81,3092,1744,3092,729,36,047,019200
5974,75986,2476,1226,85,18,57,506,5974,2498,1584,990,699,2476,604,1872,3450,17,240,35,185,1547,610,53,25,-666666666,46307,5881,3125,331,5954,1922,3923,772,36,047,019300
3371,56140,1119,682,14,0,0,465,3371,546,16,1989,739,1119,1005,114,2424,60,575,31,33,310,220,0,7,28738,28885,2703,1842,68,3366,1927,3366,1011,36,047,019400
3782,116479,1710,630,13,73,0,176,3782,1594,1292,72,564,1710,862,848,2937,16,236,154,176,1138,444,182,74,84555,85208,3167,2111,196,3782,1790,3782,466,36,047,019500
4494,82044,1553,958,94,90,110,338,4494,1562,250,1478,1166,1553,1058,495,3217,120,1084,165,114,515,50,14,0,43776,25313,3622,2048,67,4314,2330,4314,1180,36,047,019600
4051,131875,1864,813,36,11,13,166,4051,2175,918,165,577,1864,993,871,3035,69,121,1,90,1195,774,226,153,103449,99228,3209,2496,105,4044,1986,4013,218,36,047,019700
1812,76973,671,280,0,33,21,85,1812,762,3,762,223,671,500,171,1218,13,370,6,60,278,84,56,33,30625,41307,1453,925,14,1812,971,1812,280,36,047,019800
3964,131250,2128,1844,116,58,63,350,3964,1781,671,499,565,2128,784,1344,3194,28,173,103,110,1357,722,234,75,99850,79740,3500,2686,85,3952,1631,3952,387,36,047,019900
2118,97875,683,298,15,6,73,16,2118,878,8,904,318,683,493,190,1544,28,285,171,41,271,151,43,28,54808,41563,1670,1035,18,2118,970,2118,414,36,047,020000
4133,153250,1957,1395,127,115,84,304,4133,2115,1085,275,274,1957,734,1223,3284,0,383,0,124,1387,774,247,23,81974,78203,3531,2927,237,4133,2137,4111,245,36,047,020100
1747,77434,617,193,30,24,16,46,1747,875,35,543,294,617,522,95,1193,49,151,69,67,342,223,48,0,72330,45125,1300,834,41,1747,784,1712,129,36,047,020200
1984,171250,869,592,45,5,43,49,1984,1152,214,245,172,869,313,556,1535,16,68,39,12,642,357,148,91,89375,106333,1596,1361,31,1984,1014,1984,163,36,047,020300
1754,102368,672,104,9,0,9,17,1754,1064,15,479,84,672,445,227,1347,26,228,61,22,396,263,63,21,66454,52391,1499,957,18,1754,830,1754,77,36,047,020400
3542,162596,1549,845,89,49,55,79,3542,2268,277,466,280,1549,714,835,2715,0,43,26,85,1000,876,289,169,118580,93702,2778,2346,42,3542,1565,3542,138,36,047,020500
2488,70806,782,287,0,23,22,145,2488,1389,10,851,197,782,691,91,1614,94,316,24,181,412,163,78,5,51842,-666666666,1987,1023,52,2488,1324,2487,595,36,047,020600
4681,184638,2349,1375,129,0,102,218,4681,3262,328,214,551,2349,1020,1329,3712,0,86,19,23,1516,1186,339,259,115800,98363,3977,3244,262,4681,2049,4681,345,36,047,020700
2761,67114,1115,575,73,28,65,122,2761,1070,0,1471,169,1115,914,201,2186,97,622,96,23,536,156,19,36,-666666666,47955,2342,1543,101,2761,1537,2760,291,36,047,020800
3899,72341,1155,629,59,37,13,221,3899,942,90,2468,288,1155,900,255,2491,67,617,71,176,482,163,21,10,31188,27314,3046,1782,167,3899,2156,3899,1021,36,047,021000
2753,95236,1101,958,0,0,63,208,2753,659,1149,155,621,1101,660,441,1916,77,265,82,140,676,291,38,13,60427,63750,2317,1606,147,2753,1390,2753,354,36,047,021100
3448,61989,1205,881,19,25,148,139,3448,777,0,2467,204,1205,875,330,2613,98,430,42,155,558,126,53,15,32563,25349,2811,1921,252,3448,1898,3434,558,36,047,021200
4440,70109,2026,1852,88,57,84,691,4440,893,2775,52,476,2026,1123,903,3380,272,358,92,171,859,419,54,53,56029,47108,3801,2304,90,4440,1871,4440,1055,36,047,021300
2510,69088,533,347,1,0,17,156,2510,1380,0,778,297,533,410,123,1305,57,486,107,57,145,24,8,0,33768,22857,1634,1033,24,2510,1306,2466,710,36,047,021400
5735,112650,2738,1890,156,195,273,425,5735,3069,1099,469,578,2738,1087,1651,4862,339,222,115,185,1779,1131,342,231,83165,67357,4909,3546,130,5735,2438,5735,701,36,047,021500
3670,41250,958,744,48,12,60,299,3670,2906,55,135,394,958,864,94,1721,24,750,44,48,278,90,29,0,44511,18417,2251,1207,78,3670,1859,3670,1852,36,047,021600
3958,103269,1862,1603,81,91,127,258,3958,1423,1276,288,679,1862,728,1134,3150,102,361,6,102,1112,636,189,35,71369,71912,3454,2509,254,3958,1711,3958,557,36,047,021700
3001,68062,827,594,59,13,84,197,3001,2275,0,94,441,827,604,223,1389,53,553,23,9,186,63,29,0,53973,25915,1937,1105,117,3001,1393,3001,144,36,047,021800
4285,130970,1822,1408,136,48,141,203,4285,1527,2009,101,344,1822,651,1171,3563,21,794,88,104,1149,652,269,86,71118,70233,3814,3017,230,4285,1690,4285,373,36,047,021900
5525,51198,1247,1036,29,65,38,412,5525,4338,10,258,425,1247,886,361,2159,188,840,116,0,532,64,93,0,57896,20743,2939,1738,173,5525,3108,5525,2492,36,047,022000
3706,78156,1582,1225,127,81,114,318,3706,1343,1627,82,464,1582,610,972,3075,54,687,124,32,1109,498,57,0,76140,62232,3357,1971,96,3706,1980,3706,985,36,047,022100
4270,50731,1071,866,89,58,83,361,4270,3233,0,79,572,1071,935,136,1816,149,627,32,44,146,80,5,46,31250,18646,2495,1464,17,4270,2102,4270,2104,36,047,022200
5335,53084,1296,729,14,37,129,248,5335,4181,15,189,791,1296,975,321,2512,99,1093,70,67,330,106,13,0,35665,32750,3355,1681,132,5335,2816,5335,1323,36,047,022400
2572,84194,558,304,16,28,42,74,2572,1216,0,379,774,558,469,89,1115,179,237,93,133,77,51,0,0,59464,23375,1439,977,139,2572,1322,2572,325,36,047,022600
4425,121250,1994,1628,216,56,43,252,4425,1451,1265,226,1078,1994,796,1198,3327,45,412,76,131,1237,544,126,0,95614,70183,3726,2739,307,4425,1893,4412,769,36,047,022700
3683,65208,860,567,56,35,70,152,3683,2011,77,992,336,860,740,120,1874,212,412,4,136,338,197,93,0,31250,30858,2654,1440,145,3671,1792,3529,1241,36,047,022800
3425,129886,1623,1234,40,126,71,259,3425,1810,729,103,380,1623,469,1154,2795,138,142,82,73,1532,464,80,27,95682,68077,3004,2503,164,3421,1475,3421,439,36,047,022900
4887,51250,1062,779,39,36,43,344,4887,3528,48,185,781,1062,932,130,1995,109,813,54,37,320,44,12,0,40030,30074,2735,1479,263,4887,2722,4887,2205,36,047,023000
3546,162933,1726,1235,64,76,55,227,3546,1723,926,168,457,1726,840,886,2930,32,197,82,170,1164,668,116,112,98182,95592,3116,2453,231,3546,1533,3534,258,36,047,023100
6648,67750,1325,939,59,85,47,211,6648,5922,1,535,65,1325,1034,291,2551,200,1087,34,117,340,177,0,0,43387,20216,3269,2033,83,6645,3444,6645,2000,36,047,023200
6804,75990,2235,1744,153,0,21,514,6804,2301,1955,536,1296,2235,1230,1005,4423,181,399,355,253,1576,1021,60,31,73750,36554,5001,3850,389,6804,2421,6785,2144,36,047,023300
5558,37450,1401,1196,64,99,90,622,5558,4872,0,11,411,1401,1186,215,2147,162,826,16,140,212,99,21,8,23496,21395,3080,1708,103,5558,2775,5526,2087,36,047,023400
5578,84175,1482,1157,49,104,70,468,5578,4203,231,254,783,1482,911,571,2377,86,518,56,41,869,348,49,43,65625,46389,3081,2186,170,5578,2896,5578,2484,36,047,023500
5846,32500,1432,1357,75,60,119,833,5846,5295,0,53,61,1432,1090,342,1867,188,713,53,45,182,210,107,20,42878,25701,2876,1705,134,5846,2862,5846,2102,36,047,023600
5200,50566,1185,967,92,23,27,502,5200,4637,0,0,261,1185,995,190,2184,72,1128,10,0,378,66,0,40,42036,20556,2536,1438,241,5200,2440,5200,1536,36,047,023800
6413,47750,1486,1127,0,67,54,660,6413,5402,142,6,469,1486,1293,193,2689,141,1127,66,33,366,273,41,0,60092,21395,3439,2014,52,6343,3076,6343,2868,36,047,024000
2975,135968,1118,1042,84,54,103,208,2975,1514,426,254,327,1118,393,725,2130,94,275,21,51,912,373,97,30,77375,44614,2344,1925,141,2975,1783,2945,630,36,047,024100
3026,60091,727,378,0,27,22,194,3026,2558,15,197,157,727,571,156,1517,109,662,60,62,221,35,0,7,57578,28958,1824,955,104,3026,1733,3026,699,36,047,024200
4300,114142,1935,1267,132,23,117,346,4300,928,2112,474,534,1935,555,1380,3664,115,504,144,155,1349,557,68,0,59509,70379,3738,2713,90,4300,2009,4296,681,36,047,024300
3697,67500,970,603,32,5,171,155,3697,2495,3,642,427,970,828,142,1870,80,601,19,7,308,215,64,0,28229,-666666666,2372,1364,95,3697,1825,3598,1435,36,047,024400
4437,91758,2009,1464,135,11,107,434,4437,1387,2141,257,337,2009,997,1012,3383,13,472,101,106,1232,761,65,24,64260,65478,3733,3011,245,4437,1889,4437,422,36,047,024500
3489,80398,891,413,28,15,22,118,3489,1530,48,1237,522,891,684,207,2178,71,626,52,70,442,251,13,5,45431,30625,2465,1576,116,3489,1902,3431,511,36,047,024600
2499,61250,1295,1188,63,87,155,323,2499,846,645,350,318,1295,530,765,2012,0,104,61,158,550,583,47,42,56633,62404,2212,1535,105,2499,1289,2467,608,36,047,024700
2476,75150,788,386,0,74,46,99,2476,1365,0,690,386,788,630,158,1605,34,426,37,30,220,123,43,0,44196,28864,1854,996,56,2476,1121,2476,479,36,047,024800
3992,88771,1883,1645,98,133,168,322,3992,1446,1598,229,468,1883,683,1200,3004,31,294,168,163,1276,434,39,55,71389,50883,3542,2812,286,3992,1751,3958,582,36,047,024900
1679,48125,513,327,26,24,72,69,1679,148,8,1101,422,513,277,236,1193,168,266,28,63,173,57,13,0,26315,34762,1443,930,133,1676,865,1673,416,36,047,025000
3687,52011,1778,1557,103,118,90,527,3687,930,2055,83,396,1778,801,977,3022,199,521,148,338,762,209,36,26,59236,39329,3419,1911,180,3687,1514,3687,1146,36,047,025100
4847,54172,1749,1353,147,43,135,496,4847,1842,33,1874,884,1749,1329,420,3294,284,557,194,132,745,440,26,25,29744,26098,3927,2658,529,4847,2455,4847,800,36,047,025200
3375,77328,1371,949,104,97,51,178,3375,1787,898,94,345,1371,717,654,2347,119,289,46,106,827,343,97,64,60332,40882,2725,1999,113,3375,1795,3375,1052,36,047,025300
2992,85819,1141,717,227,44,38,188,2992,871,0,1383,721,1141,885,256,1954,85,332,27,106,523,139,0,0,29910,28418,2303,1453,72,2992,1599,2992,589,36,047,025400
4922,26833,2150,2054,347,266,61,514,4922,27,2177,41,2556,2150,1298,852,3414,233,1136,224,151,211,93,60,0,27778,24736,4152,2068,141,4922,1841,4913,1642,36,047,025500
3114,68269,1170,826,10,30,48,314,3114,1104,0,1758,210,1170,996,174,2272,231,515,11,75,327,163,93,0,38345,28745,2621,1609,78,3114,1595,3114,483,36,047,025600
3279,95263,946,826,5,129,69,159,3279,1075,222,65,1810,946,507,439,1986,59,336,38,21,557,183,1,0,36986,52891,2443,1848,114,3279,1773,3279,908,36,047,025700
4482,65234,1461,1235,138,22,73,469,4482,1532,137,1619,945,1461,1005,456,2944,122,519,84,167,613,318,38,8,26867,27911,3313,2220,270,4482,2166,4482,1365,36,047,025800
2163,71964,819,724,104,30,72,263,2163,812,708,81,443,819,355,464,1343,12,338,90,58,407,124,0,12,42472,38553,1733,1385,219,2163,1165,2163,651,36,047,025901
3611,21953,1488,1439,202,136,127,317,3611,0,1875,0,1654,1488,1135,353,1930,95,553,180,94,340,0,0,0,35428,21959,2562,1192,119,3611,1145,3611,1729,36,047,025902
3076,66120,1051,600,40,64,66,177,3076,827,41,1289,808,1051,753,298,2185,71,641,112,172,347,74,55,0,35852,27548,2509,1394,44,3076,1348,3028,441,36,047,026000
5459,86822,2236,2145,103,154,75,477,5459,1200,1758,1165,1091,2236,745,1491,4265,52,625,93,582,1429,433,113,0,70826,60980,4702,3401,323,5455,2279,5441,1525,36,047,026100
2626,114625,780,332,5,27,16,71,2626,659,106,1582,198,780,636,144,1773,65,456,34,135,442,59,0,11,41250,29759,2088,1395,148,2622,1337,2626,245,36,047,026200
2270,82778,980,688,62,49,9,191,2270,548,1297,33,222,980,559,421,1564,32,302,64,117,345,287,29,49,50469,68125,1842,1363,107,2270,1079,2245,229,36,047,026300
4732,70151,1617,1213,58,88,127,478,4732,1652,12,1554,1396,1617,1236,381,3072,118,848,71,145,637,168,0,0,36711,25781,3592,2502,117,4732,2188,4657,1035,36,047,026400
4163,84179,1881,1423,160,111,106,372,4163,856,1828,262,756,1881,779,1102,3215,14,528,190,213,1075,474,131,25,73646,46591,3642,2620,93,4159,1689,4159,816,36,047,026500
3408,52192,1091,698,40,13,121,232,3408,1103,29,1362,863,1091,893,198,2206,144,468,24,193,554,110,40,0,31594,26360,2583,1434,103,3390,1668,3383,468,36,047,026600
3950,106063,1892,1407,79,75,169,198,3950,1159,1802,150,523,1892,762,1130,3287,45,328,138,266,1132,544,119,0,77397,53814,3548,2510,147,3836,1970,3836,440,36,047,026700
4280,87836,1497,967,46,81,36,245,4280,2027,14,1804,435,1497,1026,471,2998,161,615,90,220,608,118,36,0,45455,29648,3385,2234,192,4277,1881,4277,629,36,047,026800
3124,83426,1244,889,100,47,109,235,3124,784,1259,53,763,1244,666,578,2255,173,107,178,54,970,327,0,15,48589,70284,2392,1513,54,3124,1601,3124,465,36,047,026900
2496,57792,881,649,50,12,36,210,2496,1544,0,708,244,881,592,289,1668,37,352,88,80,380,190,46,0,45036,36538,1936,1050,34,2496,1108,2496,712,36,047,027000
3740,98088,1510,1332,113,38,126,353,3740,820,2195,65,553,1510,673,837,2516,70,583,137,198,502,451,122,0,54435,57723,2932,2251,140,3713,1969,3713,602,36,047,027100
3993,68250,1408,909,15,37,40,299,3993,1496,162,1105,1218,1408,997,411,2899,89,774,130,245,313,249,0,11,42820,33819,3102,2048,100,3993,2260,3993,1033,36,047,027200
4071,111989,1459,876,126,35,26,159,4071,647,2505,143,498,1459,797,662,3129,109,486,80,339,857,604,54,82,73379,54435,3356,2207,55,4068,1681,4048,423,36,047,027300
3159,53949,921,555,51,59,19,212,3159,1548,0,1156,121,921,709,212,2243,81,442,29,225,330,157,6,0,42077,22946,2548,1342,56,3154,1330,3082,360,36,047,027400
5303,104537,1848,1062,197,96,66,95,5303,825,3536,111,531,1848,988,860,4338,188,1242,135,203,1158,633,88,10,58634,57000,4546,2720,163,5290,2853,5303,980,36,047,027500
3791,61811,1323,1049,75,83,98,382,3791,1121,0,1741,750,1323,1133,190,2515,40,582,72,127,419,186,69,0,33393,29441,2766,1736,143,3791,1625,3760,712,36,047,027600
4294,75724,1623,1386,123,17,149,357,4294,491,2720,11,511,1623,922,701,2927,93,515,263,273,889,189,0,22,63993,37215,3252,2075,251,4291,1807,4291,1121,36,047,027700
3086,67913,1126,859,180,31,22,111,3086,1159,80,1520,232,1126,680,446,2255,57,562,100,188,438,147,18,0,43286,37870,2471,1461,19,3086,1632,3086,378,36,047,027800
4161,83438,1687,1058,90,122,113,213,4161,1171,1681,106,815,1687,946,741,2817,0,378,116,195,930,274,218,0,54597,36822,3327,2283,220,4154,2049,4154,832,36,047,027900
1686,91250,609,262,10,0,18,55,1686,636,3,618,402,609,413,196,1249,35,304,53,61,220,150,24,4,47848,37227,1477,929,50,1686,905,1686,100,36,047,028000
5094,57019,1814,1721,140,42,173,506,5094,767,2198,138,1792,1814,927,887,3182,132,932,177,125,722,303,34,11,50000,31094,3934,2699,222,5090,2004,5052,1508,36,047,028100
2960,54219,1231,665,0,6,25,327,2960,1236,274,1133,117,1231,838,393,2278,179,485,118,159,390,240,38,12,48899,39500,2583,1370,36,2960,1504,2960,406,36,047,028200
4098,49986,1589,1411,26,164,94,320,4098,566,1853,81,1338,1589,964,625,2823,39,515,252,202,699,183,15,0,38942,39224,3412,1913,313,4092,1968,4071,1168,36,047,028300
3686,61587,1441,1280,282,44,48,358,3686,1199,11,1432,1033,1441,847,594,2541,69,652,104,149,712,211,127,0,35201,30326,2952,1714,116,3686,1766,3686,651,36,047,028400
427,56667,236,236,33,14,0,56,427,130,109,59,121,236,57,179,398,27,76,1,34,102,27,18,8,39861,41806,427,320,8,410,216,410,101,36,047,028501
3303,28466,1128,1128,132,86,184,66,3303,0,1469,157,1579,1128,793,335,2231,145,574,136,194,211,0,0,0,19926,43656,2510,1276,149,3303,1600,3303,1607,36,047,028502
5171,43329,1779,1654,180,79,235,599,5171,1829,340,1456,513,1779,953,826,3021,82,468,143,371,737,469,100,27,43750,28082,3306,1692,119,5171,2523,5171,1821,36,047,028600
3353,79350,1281,1049,197,24,49,238,3353,671,1213,228,1241,1281,596,685,2169,37,689,32,137,611,295,16,0,58767,40940,2721,1856,124,3353,1394,3351,1131,36,047,028700
3799,70000,1192,882,59,29,54,112,3799,1003,0,1661,1072,1192,816,376,2747,77,873,40,127,668,350,0,18,47837,24880,2982,1754,29,3799,2151,3783,626,36,047,028800
4261,66691,1645,1356,230,14,83,349,4261,767,2160,101,1153,1645,637,1008,3159,101,716,247,117,736,309,0,0,60962,39031,3644,2297,149,4261,1754,4254,1210,36,047,028900
3301,60701,1486,1175,110,43,139,327,3301,2051,6,830,335,1486,797,689,2342,35,453,16,211,472,540,11,24,51111,58580,2694,1415,98,3301,1516,3301,824,36,047,029000
3368,82356,1374,990,45,25,188,342,3368,676,1986,106,359,1374,669,705,2589,81,480,67,289,700,525,91,13,47344,40625,2807,2190,124,3368,1541,3368,773,36,047,029100
2668,48750,1020,749,53,90,109,288,2668,973,125,913,539,1020,600,420,1977,69,328,79,86,368,258,53,47,29375,40107,2314,1206,79,2668,1335,2668,592,36,047,029200
3284,51364,1436,1107,112,19,37,132,3284,337,2211,97,584,1436,751,685,2401,30,595,41,94,482,189,68,17,49871,48750,2879,1395,159,3284,1643,3284,1008,36,047,029300
2143,61188,630,453,46,40,23,108,2143,880,281,459,415,630,393,237,1766,26,611,19,103,209,133,43,20,61595,24527,1862,774,44,1708,941,1708,368,36,047,029400
4011,98603,1905,1194,80,0,134,391,4011,1070,2126,53,531,1905,981,924,2999,7,662,119,52,902,661,46,92,65337,63600,3364,2465,182,4011,1685,4011,857,36,047,029500
6128,76714,2047,1541,62,103,135,464,6128,2617,50,1532,1589,2047,1430,617,4127,39,857,80,674,989,280,118,16,44737,29097,4910,3077,465,6128,2704,6128,1971,36,047,029600
4099,71382,1757,1050,54,45,97,492,4099,869,2840,26,127,1757,938,819,2978,51,540,169,210,658,523,138,37,53292,67443,3300,2027,162,4099,1853,4081,698,36,047,029700
3997,60057,1112,764,70,77,67,222,3997,1586,7,1537,731,1112,821,291,2429,138,707,31,129,461,186,43,125,35894,26538,3093,1750,38,3997,1931,3986,899,36,047,029800
2483,45395,944,675,98,76,56,124,2483,610,1445,0,343,944,488,456,1626,25,473,121,118,291,241,6,17,61176,30250,1933,1158,187,2278,968,2278,888,36,047,029900
4222,75179,1306,824,8,58,72,224,4222,1098,154,1974,524,1306,1008,298,2864,161,758,117,350,460,126,26,8,46442,40256,3371,2116,200,4222,1929,4222,1077,36,047,030000
3182,95441,1096,736,45,39,47,236,3182,460,2251,16,375,1096,564,532,2236,206,456,74,150,638,131,61,15,61667,30256,2637,1790,190,3181,1540,3180,637,36,047,030100
3899,72300,1354,723,108,9,48,163,3899,1119,22,2419,197,1354,987,367,3085,128,754,4,385,592,235,8,15,57569,28571,3387,2181,361,3899,2028,3899,562,36,047,030200
5748,45197,2163,1914,151,106,314,377,5748,391,4203,36,633,2163,1177,986,3755,139,1315,56,594,406,149,11,0,36911,29148,4695,2666,350,5740,2923,5740,1616,36,047,030300
3924,65000,1490,1022,51,63,67,301,3924,1377,66,1602,779,1490,1063,427,2983,97,775,84,180,675,344,90,32,54185,45788,3193,1728,116,3924,2059,3919,822,36,047,030400
7181,124792,3201,2897,323,94,159,433,7181,2451,2123,282,1782,3201,1341,1860,5785,219,607,86,286,2012,1214,493,6,75576,75069,6017,5056,257,6909,3347,6909,623,36,047,030500
1953,70417,666,242,8,5,26,124,1953,755,12,869,274,666,525,141,1474,56,335,58,113,288,25,25,0,41932,19702,1708,937,77,1949,953,1929,215,36,047,030600
6571,51134,3120,2611,272,172,311,733,6571,667,4598,286,664,3120,1901,1219,4772,155,863,143,341,1027,660,0,30,48611,37348,5507,2899,158,6571,2626,6468,1601,36,047,030700
1678,77500,664,175,0,24,26,58,1678,633,0,890,122,664,462,202,1308,45,261,46,176,274,188,14,5,66406,54722,1466,846,30,1678,668,1678,127,36,047,030800
2447,76278,952,750,82,27,32,217,2447,137,1650,52,504,952,574,378,1670,24,318,108,142,388,153,15,0,44507,57813,1851,1208,174,2447,1169,2445,777,36,047,030900
3389,90250,1269,983,119,71,113,179,3389,641,1850,351,240,1269,667,602,2407,90,368,28,146,611,394,3,70,59484,57131,2727,2055,190,3389,1417,3389,647,36,047,031100
4346,102782,2227,1872,49,25,61,582,4346,884,2649,98,251,2227,717,1510,3906,101,536,134,126,1157,662,47,94,70644,76844,4053,2799,199,4317,2233,4238,735,36,047,031300
4938,87411,1859,965,258,23,0,222,4938,2598,16,1421,814,1859,1274,585,3776,118,673,48,261,1014,325,46,32,47778,71615,4202,2480,205,4934,2379,4934,484,36,047,031401
0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-666666666,-666666666,0,0,0,0,0,0,0,36,047,031402
5136,96461,2444,2188,172,221,179,367,5136,1913,2084,386,486,2444,805,1639,4264,44,475,103,135,1831,857,184,64,49701,71824,4594,3791,212,5136,2129,5131,764,36,047,031500
