B01001_001E,B19013_001E,B19001_001E,B25003_003E,B25070_007E,B25070_008E,B25070_009E,B25070_010E,B03002_001E,B03002_003E,B03002_004E,B03002_006E,B03002_012E,B11001_001E,B11001_002E,B11001_007E,B15003_001E,B15003_016E,B15003_017E,B15003_018E,B15003_021E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B20002_002E,B20002_003E,B23025_001E,B23025_002E,B23025_005E,B18101_001E,B18101_002E,B17001_001E,B17001_002E,state,county,tract
1787,35147,788,700,67,54,16,135,1787,0,523,0,1245,788,569,219,1064,62,402,66,61,61,29,0,0,28750,50368,1319,646,37,1787,613,1787,725,36,005,005200
4596,22352,1595,1595,187,155,93,643,4596,124,2153,0,2124,1595,891,704,2663,296,424,224,271,142,16,0,0,-666666666,20978,3335,1733,319,4596,2124,4569,2243,36,005,005300
5306,58452,1702,1415,145,223,124,388,5306,26,1391,110,3415,1702,1316,386,3283,265,1206,27,116,303,36,0,0,42298,36000,3818,2237,142,5306,2566,5306,1325,36,005,005400
2531,47628,1025,892,95,65,78,281,2531,50,315,107,1797,1025,549,476,1710,40,383,110,123,329,36,0,0,41167,38295,2041,1190,110,2531,1237,2531,950,36,005,005600
3044,46902,1286,901,73,22,99,350,3044,763,701,62,1506,1286,604,682,2117,100,528,60,154,463,117,124,44,27222,42303,2554,1483,118,3044,1520,3044,1122,36,005,005902
1220,53371,385,344,15,28,61,130,1220,6,172,0,1033,385,256,129,778,60,69,52,71,101,29,19,6,36278,36696,921,565,95,1220,599,1190,302,36,005,006000
3835,75608,1940,1141,73,28,78,243,3835,59,3080,30,652,1940,981,959,3099,108,466,62,339,689,483,0,0,61498,43365,3441,2133,220,3835,1480,3825,362,36,005,006100
6206,27243,2489,2439,220,42,190,755,6206,19,1868,24,4295,2489,1682,807,3631,229,755,266,223,339,146,1,0,31706,26696,4637,2099,188,6206,3191,6206,2358,36,005,006200
6244,58118,2584,2158,273,209,0,1034,6244,1156,2232,100,2692,2584,1264,1320,4614,106,1185,174,231,783,225,82,0,47891,24728,4974,3557,298,6244,3105,6244,1868,36,005,006301
0,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-666666666,-666666666,0,0,0,0,0,0,0,36,005,006302
3847,40778,1407,1136,88,94,31,449,3847,145,1280,59,2090,1407,907,500,2304,36,864,135,202,210,51,33,0,40099,28902,2988,1629,280,3847,1770,3846,1292,36,005,006400
5182,24184,2153,2048,98,64,262,850,5182,242,1355,69,3514,2153,1297,856,3071,161,611,246,366,350,74,0,11,28885,27099,3806,2004,335,5170,2454,5112,2720,36,005,006500
5892,-666666666,2595,2472,457,227,208,640,5892,31,986,0,4846,2595,1487,1108,4152,457,784,580,206,196,0,0,0,38531,18174,4732,2322,174,5892,3058,5832,3122,36,005,006700
2621,33996,917,734,58,30,46,472,2621,0,302,279,1704,917,682,235,1634,69,427,194,81,92,61,0,0,24547,31563,1972,815,99,2621,1299,2621,740,36,005,006800
6524,32199,2804,2643,823,0,91,799,6524,44,2180,38,4257,2804,1521,1283,4349,77,1071,221,457,493,169,28,0,26500,48750,5266,3085,708,6524,3339,6524,2108,36,005,006900
4201,43672,1373,1021,56,22,114,418,4201,238,877,385,2219,1373,919,454,2890,188,602,150,268,335,63,0,0,38047,35530,3305,1472,106,4192,2222,4192,1558,36,005,007000
2562,34853,1386,926,27,40,105,490,2562,61,731,79,1691,1386,664,722,1955,57,444,65,205,450,144,19,0,46620,39327,2204,1380,169,2498,1014,2551,666,36,005,007100
5371,64464,1623,1035,152,5,48,226,5371,218,568,2553,1811,1623,1137,486,3500,106,978,279,270,277,274,22,25,31764,34508,4405,2442,68,5371,2699,5352,884,36,005,007200
4555,31442,1552,1479,162,43,175,655,4555,18,2013,72,2407,1552,1131,421,2640,120,968,216,84,238,20,0,0,30962,20746,3402,1971,280,4555,2060,4555,1491,36,005,007300
3281,52641,1380,893,133,55,0,397,3281,68,1107,0,2013,1380,899,481,2401,79,528,286,222,387,155,17,32,40714,40081,2808,1511,154,3281,1299,3281,606,36,005,007400
6543,35892,2449,2056,308,126,59,487,6543,34,2082,29,4210,2449,1655,794,3817,199,720,347,349,533,236,50,0,29320,40248,4642,2715,413,6543,2812,6543,2544,36,005,007500
5317,53650,1825,1410,27,289,98,502,5317,91,1248,568,3228,1825,1308,517,3643,136,808,225,320,642,51,69,11,32917,37465,4245,2546,196,5317,3049,5276,896,36,005,007600
1996,44447,591,464,34,52,25,145,1996,21,318,0,1653,591,469,122,1356,80,359,101,22,186,24,25,0,31961,36940,1639,914,96,1996,925,1992,537,36,005,007700
5858,58513,1981,1533,126,132,118,627,5858,190,1244,266,3297,1981,1276,705,3599,159,1136,277,314,572,34,0,18,46382,46308,4343,2501,176,5858,3172,5858,1288,36,005,007800
6987,36514,2290,2290,304,111,34,682,6987,25,1687,0,5198,2290,1863,427,4149,245,761,405,654,606,174,40,0,35438,32526,5188,2708,423,6987,3188,6961,2116,36,005,007900
6588,53560,2239,1798,102,194,112,566,6588,31,819,0,5642,2239,1393,846,4010,112,777,294,255,630,169,0,0,46462,36543,5359,2886,464,6588,3431,6587,1581,36,005,008300
2716,57083,1008,308,13,39,48,35,2716,94,720,275,1627,1008,519,489,2038,13,487,172,143,334,152,21,18,37261,41610,2311,1503,187,2716,1401,2716,265,36,005,008400
5665,43531,2110,1710,70,191,85,542,5665,68,1225,140,3871,2110,1180,930,3715,168,492,295,299,333,230,103,14,50000,25045,4479,2480,353,5665,2523,5660,1864,36,005,008500
4117,24023,1539,1318,232,32,18,389,4117,69,1602,185,2071,1539,1103,436,2547,33,387,206,291,119,55,21,0,27227,27965,3282,1198,164,4117,1876,4017,1817,36,005,008600
6299,40708,2109,2009,85,148,98,659,6299,59,1384,0,4849,2109,1534,575,3831,92,510,584,267,513,130,24,0,32868,33607,4606,2683,341,6194,3163,6132,2089,36,005,008700
2993,36625,1327,1213,164,211,137,280,2993,37,419,0,2383,1327,628,699,2197,237,283,149,96,49,116,0,45,24063,33841,2508,1493,263,2989,1522,2985,660,36,005,008900
3593,33275,1221,998,208,66,64,239,3593,57,942,71,2497,1221,902,319,2205,121,391,130,153,234,17,8,14,34367,35241,2642,1262,154,3593,1305,3499,1497,36,005,009000
5675,56913,1871,1350,40,171,87,591,5675,261,449,1470,3305,1871,1354,517,3933,47,1495,308,118,333,114,15,13,40284,29450,4443,2724,150,5675,2842,5675,916,36,005,009200
5615,54241,1918,1745,127,123,256,341,5615,87,1407,0,4027,1918,1301,617,3353,90,920,226,251,323,236,0,0,43283,40193,4149,2939,292,5547,2801,5445,1184,36,005,009301
405,-666666666,0,0,0,0,0,0,405,69,202,18,102,0,0,0,354,20,155,35,15,0,0,0,0,25962,-666666666,405,0,0,84,84,84,28,36,005,009302
2352,53523,835,622,7,51,121,270,2352,169,279,429,1355,835,516,319,1709,41,428,58,232,223,86,0,4,47955,43571,1966,941,99,2120,1077,2120,507,36,005,009600
